ing_indic,ing_nacionalidad,ing_periodo,ing_valor
INGRESO_PAX,Colombiano,201905,42066
INGRESO_PAX,Extranjero,201905,30956
INGRESO_PAX,Extranjero,201805,25356
INGRESO_PAX,Colombiano,201805,40162
INGRESO_PAX,Colombiano,201705,35257
INGRESO_PAX,Extranjero,201705,20086
INGRESO_PAX,Extranjero,201605,20561
INGRESO_PAX,Colombiano,201605,32248
INGRESO_PAX,Extranjero,201505,13383
INGRESO_PAX,Colombiano,201505,29582
INGRESO_PAX,Extranjero,201405,12342
INGRESO_PAX,Colombiano,201405,28590
INGRESO_PAX,Colombiano,201305,23383
INGRESO_PAX,Extranjero,201305,10491
INGRESO_PAX,Colombiano,201205,20016
INGRESO_PAX,Extranjero,201205,8904
INGRESO_PAX,Extranjero,201105,10230
INGRESO_PAX,Colombiano,201105,19120
INGRESO_PAX,Extranjero,201005,11799
INGRESO_PAX,Colombiano,201005,21693
INGRESO_PAX,Colombiano,200905,15406
INGRESO_PAX,Extranjero,200905,7986
INGRESO_PAX,Extranjero,200805,5674
INGRESO_PAX,Colombiano,200805,14539
INGRESO_PAX,Colombiano,202204,60138
INGRESO_PAX,Extranjero,202204,48352
INGRESO_PAX,Extranjero,202104,12051
INGRESO_PAX,Colombiano,202104,26523
INGRESO_PAX,Colombiano,202004,142
INGRESO_PAX,Extranjero,202004,7
INGRESO_PAX,Colombiano,201904,40290
INGRESO_PAX,Extranjero,201904,26976
INGRESO_PAX,Colombiano,201804,35834
INGRESO_PAX,Extranjero,201804,26037
INGRESO_PAX,Colombiano,201704,36844
INGRESO_PAX,Extranjero,201704,21047
INGRESO_PAX,Extranjero,201604,19285
INGRESO_PAX,Colombiano,201604,27740
INGRESO_PAX,Colombiano,201504,27499
INGRESO_PAX,Extranjero,201504,12157
INGRESO_PAX,Colombiano,201404,28258
INGRESO_PAX,Extranjero,201404,12783
INGRESO_PAX,Colombiano,201304,21895
INGRESO_PAX,Extranjero,201304,10285
INGRESO_PAX,Extranjero,201204,8201
INGRESO_PAX,Colombiano,201204,21022
INGRESO_PAX,Extranjero,201104,10541
INGRESO_PAX,Colombiano,201104,20897
INGRESO_PAX,Extranjero,201004,8725
INGRESO_PAX,Colombiano,201004,17632
INGRESO_PAX,Colombiano,200904,16607
INGRESO_PAX,Extranjero,200904,8384
INGRESO_PAX,Extranjero,200804,4011
INGRESO_PAX,Colombiano,200804,10660
INGRESO_PAX,Extranjero,202203,43463
INGRESO_PAX,Colombiano,202203,45654
